id,Nombre,Prioridad,Valores de las variantes,Cantidad a mano,Unidad de medida,Precio de�venta,Etiquetas de producto,Descripcion,Modelo y ano del vehiculo
1,Cargo Negro Weathertech  (und) LC300 2022+,Media,,1.0,unds,160.0,,,LC300 2022+
2,Cargo beige Weathertech  (und) LC300 2022+,Media,,2.0,unds,160.0,,,LC300 2022+
3,Floorliners Negro Weathertech  (und) LC300 2022+,Media,,1.0,unds,390.0,,,LC300 2022+
4,Floorliners beige WeaTherTech  (und) LC300 2022+,Media,,1.0,unds,390.0,,,LC300 2022+
5,Combo Alfombras Weathertech C/3F Color: Beige (kit) Fortuner Nac 09+,Media,Color: Beige,0.0,Kit,460.0,Var🔢,,Fortuner Nac 09+
6,,,,,,,Fab🛠️,,
7,Combo Alfombras Weathertech C/3F Color: Negro (kit) Fortuner Nac 09+,Media,Color: Negro,0.0,Kit,460.0,Var🔢,,Fortuner Nac 09+
8,,,,,,,Fab🛠️,,
9,Cargo Universal Beige Weathertech  (und) Todos,Media,,7.0,unds,75.0,,,Todos
10,Cargo Universal Gris Weathertech  (und) Todos,Media,,5.0,unds,75.0,,,Todos
11,Cargo Universal Negra Weathertech  (und) Todos,Media,,13.0,unds,75.0,,,Todos
12,Floorliners Universal Beige Weathertech  (und) Todos,Media,,22.0,unds,75.0,,,Todos
13,Floorliners Universal Gris Weathertech  (und) Todos,Media,,12.0,unds,75.0,,,Todos
14,Floorliners Universal Corrida Negra Weathertech  (und) Todos,Media,,36.0,unds,75.0,,,Todos
15,Cargo Negro Weathertech  (und) Autana,Media,,0.0,unds,140.0,,,Autana
16,Cargo Negro Weathertech  (und) Grand Vitara 99-05,Media,,1.0,unds,140.0,,,Grand Vitara 99-05
17,Cargo negra Weathertech  (und) Tucson 19-20,Media,,1.0,unds,160.0,,,Tucson 19-20
18,Cargo Negro Weathertech  (und) Corolla 20,Media,,1.0,unds,150.0,,,Corolla 20
19,Cargo Negro Weathertech  (und) Ford Explorer ST 2020+,Media,,1.0,unds,140.0,,,Ford Explorer ST 2020+
