co_art,Modelo,Descripción,Sub-Línea,Marca,P1 C/IVA,P2 C/IVA,DSP
100098,VIAA0112102011,A/A SPLIT VIOTTO 12.000 BTU 110V NIVEUS BLANCO VIAA1006017,AIRE ACONDICIONADO,VIOTTO,"584,99","349,99",3
100157,TCL12CWDNE,A/A DE VENTANA TCL 12.000 BTU 120V BLANCO,AIRE ACONDICIONADO,TCL,"589,99","354,99",1
100180,CHP06DL,PURIFICADOR DE AGUA COWAY OSMOSIS INVERSA BLANCO,ENFRIADORES BOTELLON,COWAY,"1.484,99","0,00",1
100181,P07FRV,PURIFICADOR DE AGUA COWAY OSMOSIS INVERSA BLANCO,ENFRIADORES BOTELLON,COWAY,"1.549,99","0,00",1
100288,VINV0504144029,NEVERA EJEC VIOTTO 3.2 CU.FT C/ESCARCHA 2 PTA ARENA VIRF1001250,NEVERAS,VIOTTO,"484,99","289,99",2
100290,VINV0404144012,NEVERA EJEC VIOTTO 3.2 CU.FT. C/ESCARCHA NEGRO VIRF1001256,NEVERAS,VIOTTO,"444,99","264,99",2
100293,VINV0404144019,NEVERA EJEC VIOTTO 3.2 CU.FT C/ESCARCHA DORADO VIRF1001255,NEVERAS,VIOTTO,"444,99","264,99",2
100298,VINV0404144015,NEVERA EJEC VIOTTO 3.2 CU.FT. C/ESCARCHA GRIS VIRF1001257,NEVERAS,VIOTTO,"444,99","264,99",2
100326,MALBEC7,VINERA DRIJA 7 BOTELLAS ACERO,VINERAS,DRIJA,"694,99","419,99",1
100368,WRF555SDFZ,NEVERA F/D WHIRLPOOL 25 CU.FT. ACERO,NEVERAS,WHIRLPOOL,"4.999,99","2.899,99",1
100393,7WRS25SDHM,NEVERA SXS WHIRLPOOL 25 CU.FT. C/DISP ACERO,NEVERAS,WHIRLPOOL,"3.339,99","1.969,99",2
100450,MVB36CRC,A/A TIPO GABINETE MIDEA 36.000 BTU 220V BLANCO,AIRE ACONDICIONADO,MIDEA,"1.689,99","999,99",1
100457,7WRS21SDHM,NEVERA SXS WHIRLPOOL 21 CU.FT. C/DISP ACERO,NEVERAS,WHIRLPOOL,"2.799,99","1.689,99",5
100484,WRX735SDHZ,NEVERA F/D WHIRLPOOL 25 CU.FT. C/DISP ACERO,NEVERAS,WHIRLPOOL,"6.669,99","3.999,99",1
100485,KRMF706ESS,NEVERA F/D KITCHENAID 25.8 CU.FT. C/DISP ACERO,NEVERAS,KITCHENAID,"10.229,99","6.139,99",1
100495,WRS588FIHZ,NEVERA SXS WHIRLPOOL 28 CU.FT. C/DISP ACERO,NEVERAS,WHIRLPOOL,"2.574,99","1.539,99",1
100506,LMYL11119B,DISPENSADOR DE AGUA B/SUP JAGUAR BLANCO,ENFRIADORES BOTELLON,JAGUAR,"199,99","119,99",1
100530,DOMSX18CR,A/A SPLIT DORAL 18.000 BTU 220V BLANCO,AIRE ACONDICIONADO,DORAL,"799,99","479,99",1
100602,BR20A,NEVERA SXS BACCO 20 CU.FT. C/DISP ACERO,NEVERAS,BACCO,"2.209,99","1.279,99",1
100618,WUI75X15HZ,FABRICADOR DE HIELO WHIRLPOOL 11 KG ACERO,FABRICADORES D HIELO,WHIRLPOOL,"2.829,99","1.689,99",2
100638,SWA3120Q,A/A SPLIT WHIRLPOOL 18.000 BTU 220V BLANCO,AIRE ACONDICIONADO,WHIRLPOOL,"989,99","589,99",22
100676,WUI95X15HZ,FABRICADOR DE HIELO WHIRLPOOL 12 KG ACERO,FABRICADORES D HIELO,WHIRLPOOL,"3.389,99","2.029,99",13
100685,WRB322DMBM,NEVERA F/D WHIRLPOOL 22 CU.FT. ACERO,NEVERAS,WHIRLPOOL,"4.229,99","2.539,99",2
100729,RS28T5B00S9,NEVERA SXS SAMSUNG 28 CU.FT. ACERO,NEVERAS,SAMSUNG,"2.669,99","1.599,99",13
100740,BFHC6W,FABRICADOR DE HIELO BACCO 6 KG BLANCO,FABRICADORES D HIELO,BACCO,"519,99","309,99",1
100758,FPFU19F8WF,CONGELADOR VERT FRIGIDAIRE 538 LTS PROFESIONAL ACERO,CONGELADORES,FRIGIDAIRE,"6.494,99","3.769,99",1
100759,FPRU19F8WF,NEVERA IND FRIGIDAIRE 19 CU.FT. PROFESIONAL ACERO,NEVERAS,FRIGIDAIRE,"6.494,99","3.769,99",1
100771,VR182C7,A/A SPLIT LG 18.000 BTU 220V AC INVERTER NEGRO,AIRE ACONDICIONADO,LG,"1.599,99","959,99",1
100775,SJ14CM,A/A DE VENTANA SJ ELECTRONICS 14.000 BTU 120V BLANCO,AIRE ACONDICIONADO,SJ ELECTRONICS,"549,99","329,99",1
100776,ASSJ12CRB,A/A SPLIT SJ ELECTRONICS 12.000 BTU 220V BLANCO,AIRE ACONDICIONADO,SJ ELECTRONICS,"669,99","399,99",2
100797,GS65BPGK,NEVERA SXS LG 24 CU.FT. ACERO,NEVERAS,LG,"2.819,99","1.689,99",2
100820,TCL12CSAKC,A/A SPLIT TCL 12.000 BTU 220V BLANCO,AIRE ACONDICIONADO,TCL,"614,99","364,99",9
100821,TCL18CSAKC,A/A SPLIT TCL 18.000 BTU 220V BLANCO,AIRE ACONDICIONADO,TCL,"914,99","549,99",5
100823,CHIANTI154,VINERA DRIJA 154 BOTELLAS ACERO,VINERAS,DRIJA,"3.159,99","1.899,99",2
